Map#,Sign Text,Type,Size,Qty,Location,Easel,Zone,Tags,Deploy Slot,Notes
DC33-001,No Frills Venue Map,Banner,4'x8',1,Main Entrance,N,LVCC-L1,venue-map,WED_PM,
DC33-002,Code of Conduct,Informational,24x36,10,Spread across LVCC,Y,LVCC-L1,,WED_PM,
DC33-003,Photography Policy,Informational,24x36,10,Atrium Balconies,Y,LVCC-L1,,WED_PM,
DC33-004,Inhuman Registration,Directional,24x36,2,First Floor Conference Rooms,Y,LVCC-L1,registration,WED_PM,
DC33-005,Arts and Entertainment (A&E),Informational,24x36,1,First Floor Conference Rooms,Y,LVCC-L1,,WED_PM,
DC33-006,DEF CON Workshops,Directional,24x36,3,LVCC North Hall,Y,LVCC-NH,workshop,WED_PM,
DC33-007,Demo Lab 1,Informational,24x36,1,Second Floor Conference Rooms,Y,LVCC-L2,,WED_PM,
DC33-008,Press,Informational,22x28,2,Second Floor Conference Rooms,Y,LVCC-L2,,WED_PM,
DC33-009,Speaker Operations,Informational,22x28,1,Second Floor Conference Rooms,Y,LVCC-L2,,WED_PM,
DC33-010,Lost & Found,Directional,22x28,1,Second Floor Conference Rooms,Y,LVCC-L2,,WED_PM,
DC33-011,Workshop 1,Directional,22x28,1,LVCC North Hall,Y,LVCC-NH,workshop,WED_PM,
DC33-012,Observation Only,Informational,22x28,8,LVCC North Hall,Y,LVCC-NH,workshop,WED_PM,
DC33-013,No On-Site Registration,Informational,22x28,1,LVCC North Hall,Y,LVCC-NH,registration,WED_PM,
DC33-014,Workshops Instructor Check-In,Directional,22x28,2,LVCC North Hall,Y,LVCC-NH,workshop,WED_PM,
DC33-015,Training 1,Informational,22x28,1,Quartermaster Storage,N,,,SUN_PM,
DC33-016,Printed Venue Maps,Poster,24x36,10,Scattered,N,LVCC-L1,venue-map,WED_PM,
